Time,10AFaraday4201,3AFaraday4201,3A-10A
10.40	,	-0.78	,	-1.45	,	-0.66
10.60	,	-0.78	,	-1.50	,	-0.71
10.80	,	-0.77	,	-1.54	,	-0.76
11.00	,	-0.75	,	-1.57	,	-0.81
11.20	,	-0.72	,	-1.58	,	-0.86
11.40	,	-0.68	,	-1.58	,	-0.90
11.60	,	-0.63	,	-1.56	,	-0.93
11.80	,	-0.55	,	-1.52	,	-0.96
12.00	,	-0.47	,	-1.46	,	-0.99
12.20	,	-0.37	,	-1.37	,	-1.00
12.40	,	-0.25	,	-1.25	,	-1.01
12.60	,	-0.11	,	-1.11	,	-1.00
12.80	,	0.06	,	-0.93	,	-0.99
13.00	,	0.24	,	-0.72	,	-0.96
13.20	,	0.45	,	-0.46	,	-0.91
13.40	,	0.68	,	-0.17	,	-0.85
13.60	,	0.93	,	0.16	,	-0.77
13.80	,	1.22	,	0.54	,	-0.68
14.00	,	1.52	,	0.96	,	-0.56
14.20	,	1.85	,	1.43	,	-0.42
14.40	,	2.21	,	1.95	,	-0.26
14.60	,	2.58	,	2.51	,	-0.07
14.80	,	2.98	,	3.13	,	0.14
15.00	,	3.40	,	3.79	,	0.39
15.20	,	3.84	,	4.50	,	0.66
15.40	,	4.29	,	5.26	,	0.97
15.60	,	4.76	,	6.06	,	1.30
15.80	,	5.23	,	6.90	,	1.67
16.00	,	5.71	,	7.78	,	2.07
16.20	,	6.20	,	8.69	,	2.50
16.40	,	6.68	,	9.63	,	2.96
16.60	,	7.15	,	10.60	,	3.44
16.80	,	7.61	,	11.57	,	3.96
17.00	,	8.05	,	12.55	,	4.50
17.20	,	8.47	,	13.53	,	5.06
17.40	,	8.85	,	14.50	,	5.65
17.60	,	9.19	,	15.44	,	6.25
17.80	,	9.49	,	16.35	,	6.86
18.00	,	9.72	,	17.21	,	7.49
18.20	,	9.89	,	18.00	,	8.11
18.40	,	9.98	,	18.72	,	8.74
18.60	,	9.99	,	19.35	,	9.36
18.80	,	9.90	,	19.86	,	9.96
19.00	,	9.71	,	20.25	,	10.54
19.20	,	9.41	,	20.50	,	11.09
19.40	,	8.99	,	20.59	,	11.60
19.60	,	8.44	,	20.50	,	12.06
19.80	,	7.75	,	20.21	,	12.46
20.00	,	6.92	,	19.71	,	12.79
20.20	,	5.95	,	18.98	,	13.04
20.40	,	4.81	,	18.01	,	13.20
20.60	,	3.51	,	16.76	,	13.25
20.80	,	2.05	,	15.24	,	13.19
21.00	,	0.42	,	13.42	,	13.01
21.20	,	-1.38	,	11.30	,	12.68
21.40	,	-3.35	,	8.87	,	12.22
21.60	,	-5.49	,	6.10	,	11.59
21.80	,	-7.79	,	3.01	,	10.80
22.00	,	-10.25	,	-0.42	,	9.83
22.20	,	-12.86	,	-4.18	,	8.68
22.40	,	-15.61	,	-8.27	,	7.34
22.60	,	-18.49	,	-12.69	,	5.79
22.80	,	-21.48	,	-17.43	,	4.05
23.00	,	-24.57	,	-22.47	,	2.10
23.20	,	-27.74	,	-27.80	,	-0.06
23.40	,	-30.97	,	-33.40	,	-2.43
23.60	,	-34.23	,	-39.23	,	-5.00
23.80	,	-37.50	,	-45.27	,	-7.77
24.00	,	-40.75	,	-51.49	,	-10.73
24.20	,	-43.95	,	-57.84	,	-13.88
24.40	,	-47.08	,	-64.28	,	-17.20
24.60	,	-50.09	,	-70.76	,	-20.67
24.80	,	-52.95	,	-77.23	,	-24.29
25.00	,	-55.62	,	-83.64	,	-28.02
25.20	,	-58.07	,	-89.93	,	-31.86
25.40	,	-60.26	,	-96.02	,	-35.76
25.60	,	-62.15	,	-101.87	,	-39.71
25.80	,	-63.71	,	-107.39	,	-43.68
26.00	,	-64.88	,	-112.52	,	-47.64
26.20	,	-65.63	,	-117.18	,	-51.55
26.40	,	-65.93	,	-121.31	,	-55.38
26.60	,	-65.74	,	-124.84	,	-59.09
26.80	,	-65.03	,	-127.68	,	-62.65
27.00	,	-63.76	,	-129.77	,	-66.01
27.20	,	-61.90	,	-131.04	,	-69.14
27.40	,	-59.43	,	-131.42	,	-71.99
27.60	,	-56.32	,	-130.85	,	-74.53
27.80	,	-52.57	,	-129.27	,	-76.71
28.00	,	-48.14	,	-126.63	,	-78.49
28.20	,	-43.04	,	-122.87	,	-79.83
28.40	,	-37.25	,	-117.95	,	-80.70
28.60	,	-30.79	,	-111.84	,	-81.05
28.80	,	-23.66	,	-104.51	,	-80.85
29.00	,	-15.87	,	-95.93	,	-80.06
29.20	,	-7.44	,	-86.09	,	-78.65
29.40	,	1.60	,	-74.99	,	-76.59
29.60	,	11.22	,	-62.63	,	-73.84
29.80	,	21.37	,	-49.01	,	-70.38
30.00	,	32.01	,	-34.17	,	-66.18
30.20	,	43.09	,	-18.12	,	-61.21
30.40	,	54.54	,	-0.91	,	-55.45
30.60	,	66.29	,	17.42	,	-48.87
30.80	,	78.27	,	36.80	,	-41.47
31.00	,	90.41	,	57.19	,	-33.23
31.20	,	102.61	,	78.47	,	-24.14
31.40	,	114.79	,	100.57	,	-14.22
31.60	,	126.85	,	123.35	,	-3.49
31.80	,	138.68	,	146.69	,	8.00
32.00	,	150.20	,	170.42	,	20.21
32.20	,	161.29	,	194.36	,	33.07
32.40	,	171.85	,	218.33	,	46.48
32.60	,	181.78	,	242.12	,	60.35
32.80	,	190.96	,	265.53	,	74.58
33.00	,	199.28	,	288.36	,	89.07
33.20	,	206.66	,	310.39	,	103.73
33.40	,	212.99	,	331.44	,	118.45
33.60	,	218.17	,	351.32	,	133.15
33.80	,	222.11	,	369.84	,	147.73
34.00	,	224.74	,	386.83	,	162.10
34.20	,	225.97	,	402.12	,	176.15
34.40	,	225.73	,	415.52	,	189.79
34.60	,	223.96	,	426.87	,	202.91
34.80	,	220.63	,	436.00	,	215.38
35.00	,	215.68	,	442.77	,	227.09
35.20	,	209.09	,	447.03	,	237.94
35.40	,	200.85	,	448.67	,	247.82
35.60	,	190.95	,	447.59	,	256.64
35.80	,	179.41	,	443.72	,	264.31
36.00	,	166.26	,	437.01	,	270.75
36.20	,	151.53	,	427.41	,	275.88
36.40	,	135.27	,	414.91	,	279.64
36.60	,	117.56	,	399.52	,	281.96
36.80	,	98.48	,	381.28	,	282.81
37.00	,	78.11	,	360.25	,	282.14
37.20	,	56.58	,	336.50	,	279.92
37.40	,	33.99	,	310.11	,	276.12
37.60	,	10.48	,	281.17	,	270.69
37.80	,	-13.81	,	249.76	,	263.57
38.00	,	-38.72	,	215.95	,	254.67
38.20	,	-64.10	,	179.82	,	243.93
38.40	,	-89.78	,	141.51	,	231.28
38.60	,	-115.56	,	101.18	,	216.74
38.80	,	-141.29	,	59.08	,	200.37
39.00	,	-166.76	,	15.55	,	182.31
39.20	,	-191.79	,	-29.01	,	162.78
39.40	,	-216.19	,	-74.11	,	142.08
39.60	,	-239.77	,	-119.22	,	120.54
39.80	,	-262.35	,	-163.84	,	98.51
40.00	,	-283.75	,	-207.52	,	76.23
40.20	,	-303.80	,	-249.97	,	53.83
40.40	,	-322.34	,	-291.01	,	31.33
40.60	,	-339.21	,	-330.59	,	8.63
40.80	,	-354.27	,	-368.66	,	-14.39
41.00	,	-367.40	,	-405.18	,	-37.78
41.20	,	-378.46	,	-439.97	,	-61.52
41.40	,	-387.35	,	-472.79	,	-85.44
41.60	,	-393.99	,	-503.24	,	-109.25
41.80	,	-398.30	,	-530.97	,	-132.67
42.00	,	-400.22	,	-555.70	,	-155.49
42.20	,	-399.71	,	-577.26	,	-177.54
42.40	,	-396.75	,	-595.44	,	-198.69
42.60	,	-391.33	,	-610.07	,	-218.74
42.80	,	-383.47	,	-621.04	,	-237.57
43.00	,	-373.19	,	-628.30	,	-255.11
43.20	,	-360.55	,	-631.80	,	-271.25
43.40	,	-345.62	,	-631.49	,	-285.88
43.60	,	-328.48	,	-627.41	,	-298.94
43.80	,	-309.24	,	-619.67	,	-310.44
44.00	,	-288.01	,	-608.37	,	-320.36
44.20	,	-264.94	,	-593.54	,	-328.59
44.40	,	-240.18	,	-575.27	,	-335.09
44.60	,	-213.89	,	-553.69	,	-339.80
44.80	,	-186.24	,	-528.88	,	-342.65
45.00	,	-157.42	,	-500.89	,	-343.47
45.20	,	-127.62	,	-469.83	,	-342.21
45.40	,	-97.05	,	-435.89	,	-338.84
45.60	,	-65.90	,	-399.16	,	-333.26
45.80	,	-34.41	,	-359.68	,	-325.27
46.00	,	-2.77	,	-317.54	,	-314.77
46.20	,	28.79	,	-273.04	,	-301.83
46.40	,	60.06	,	-226.60	,	-286.66
46.60	,	90.82	,	-178.72	,	-269.54
46.80	,	120.86	,	-129.89	,	-250.74
47.00	,	149.97	,	-80.53	,	-230.50
47.20	,	177.96	,	-30.90	,	-208.86
47.40	,	204.63	,	18.95	,	-185.68
47.60	,	229.81	,	68.88	,	-160.92
47.80	,	253.33	,	118.43	,	-134.90
48.00	,	275.05	,	167.21	,	-107.85
48.20	,	294.83	,	215.11	,	-79.73
48.40	,	312.57	,	261.92	,	-50.64
48.60	,	328.15	,	307.06	,	-21.09
48.80	,	341.52	,	349.65	,	8.14
49.00	,	352.60	,	388.86	,	36.26
49.20	,	361.37	,	424.31	,	62.94
49.40	,	367.81	,	455.99	,	88.18
49.60	,	371.90	,	484.00	,	112.09
49.80	,	373.67	,	508.31	,	134.64
50.00	,	373.15	,	528.62	,	155.48
50.20	,	370.38	,	544.56	,	174.19
50.40	,	365.42	,	555.97	,	190.55
50.60	,	358.35	,	563.12	,	204.77
50.80	,	349.27	,	566.58	,	217.31
51.00	,	338.26	,	567.04	,	228.78
51.20	,	325.44	,	565.22	,	239.78
51.40	,	310.94	,	561.69	,	250.75
51.60	,	294.89	,	556.89	,	262.00
51.80	,	277.43	,	550.93	,	273.50
52.00	,	258.73	,	543.80	,	285.07
52.20	,	238.94	,	535.47	,	296.53
52.40	,	218.22	,	525.77	,	307.54
52.60	,	196.76	,	514.56	,	317.80
52.80	,	174.72	,	501.69	,	326.97
53.00	,	152.27	,	486.98	,	334.71
53.20	,	129.59	,	470.19	,	340.60
53.40	,	106.82	,	451.06	,	344.24
53.60	,	84.14	,	429.40	,	345.26
53.80	,	61.71	,	404.87	,	343.17
54.00	,	39.66	,	377.12	,	337.46
54.20	,	18.14	,	346.30	,	328.16
54.40	,	-2.72	,	313.21	,	315.93
54.60	,	-22.79	,	278.92	,	301.71
54.80	,	-41.97	,	244.66	,	286.63
55.00	,	-60.15	,	211.63	,	271.78
55.20	,	-77.24	,	180.66	,	257.91
55.40	,	-93.16	,	151.82	,	244.99
55.60	,	-107.84	,	124.52	,	232.36
55.80	,	-121.22	,	98.29	,	219.52
56.00	,	-133.26	,	72.92	,	206.18
56.20	,	-143.91	,	48.52	,	192.43
56.40	,	-153.18	,	25.53	,	178.71
56.60	,	-161.04	,	4.42	,	165.46
56.80	,	-167.50	,	-14.72	,	152.79
57.00	,	-172.60	,	-32.25	,	140.35
57.20	,	-176.35	,	-48.66	,	127.69
57.40	,	-178.80	,	-64.37	,	114.43
57.60	,	-180.00	,	-79.62	,	100.38
57.80	,	-180.00	,	-94.38	,	85.62
58.00	,	-178.86	,	-108.28	,	70.58
58.20	,	-176.64	,	-120.80	,	55.84
58.40	,	-173.40	,	-131.64	,	41.77
58.60	,	-169.23	,	-140.55	,	28.68
58.80	,	-164.19	,	-147.29	,	16.90
59.00	,	-158.36	,	-151.80	,	6.56
59.20	,	-151.83	,	-154.40	,	-2.58
59.40	,	-144.66	,	-155.60	,	-10.94
59.60	,	-136.94	,	-155.78	,	-18.84
59.80	,	-128.75	,	-155.27	,	-26.52
60.00	,	-120.17	,	-154.11	,	-33.95
60.20	,	-111.29	,	-152.06	,	-40.78
60.40	,	-102.19	,	-148.66	,	-46.48
60.60	,	-92.95	,	-143.61	,	-50.66
60.80	,	-83.65	,	-137.06	,	-53.40
61.00	,	-74.36	,	-129.69	,	-55.33
61.20	,	-65.16	,	-122.27	,	-57.11
61.40	,	-56.10	,	-115.16	,	-59.05
61.60	,	-47.25	,	-108.24	,	-60.98
61.80	,	-38.65	,	-101.37	,	-62.71
62.00	,	-30.36	,	-94.46	,	-64.10
62.20	,	-22.41	,	-87.21	,	-64.81
62.40	,	-14.83	,	-79.27	,	-64.44
62.60	,	-7.67	,	-70.62	,	-62.95
62.80	,	-0.94	,	-61.77	,	-60.83
63.00	,	5.33	,	-53.17	,	-58.49
63.20	,	11.11	,	-44.94	,	-56.05
63.40	,	16.41	,	-37.21	,	-53.63
63.60	,	21.21	,	-30.17	,	-51.39
63.80	,	25.52	,	-23.76	,	-49.27
64.00	,	29.32	,	-17.68	,	-47.00
64.20	,	32.63	,	-11.57	,	-44.19
64.40	,	35.46	,	-5.36	,	-40.82
64.60	,	37.82	,	0.64	,	-37.18
64.80	,	39.73	,	6.20	,	-33.53
65.00	,	41.23	,	11.33	,	-29.90
65.20	,	42.33	,	16.01	,	-26.33
65.40	,	43.07	,	20.13	,	-22.94
65.60	,	43.47	,	23.87	,	-19.60
65.80	,	43.57	,	27.69	,	-15.88
66.00	,	43.38	,	31.86	,	-11.51
66.20	,	42.93	,	36.22	,	-6.71
66.40	,	42.25	,	40.38	,	-1.87
66.60	,	41.36	,	44.09	,	2.73
66.80	,	40.27	,	47.19	,	6.93
67.00	,	39.00	,	49.60	,	10.60
67.20	,	37.57	,	51.41	,	13.84
67.40	,	36.01	,	52.87	,	16.86
67.60	,	34.33	,	54.26	,	19.94
67.80	,	32.55	,	55.72	,	23.17
68.00	,	30.70	,	57.04	,	26.34
68.20	,	28.78	,	57.94	,	29.16
68.40	,	26.84	,	58.43	,	31.59
68.60	,	24.88	,	58.63	,	33.75
68.80	,	22.93	,	58.50	,	35.56
69.00	,	21.01	,	58.00	,	36.99
69.20	,	19.12	,	57.30	,	38.18
69.40	,	17.29	,	56.66	,	39.37
69.60	,	15.52	,	56.17	,	40.64
69.80	,	13.82	,	55.63	,	41.81
70.00	,	12.18	,	54.85	,	42.67
70.20	,	10.62	,	53.83	,	43.21
70.40	,	9.12	,	52.65	,	43.53
70.60	,	7.69	,	51.29	,	43.60
70.80	,	6.33	,	49.76	,	43.43
71.00	,	5.04	,	48.13	,	43.09
71.20	,	3.81	,	46.59	,	42.78
71.40	,	2.66	,	45.32	,	42.65
71.60	,	1.59	,	44.26	,	42.68
71.80	,	0.58	,	43.23	,	42.65
72.00	,	-0.34	,	42.05	,	42.39
72.20	,	-1.18	,	40.64	,	41.82
72.40	,	-1.94	,	39.12	,	41.06
72.60	,	-2.62	,	37.56	,	40.19
72.80	,	-3.22	,	36.00	,	39.23
73.00	,	-3.75	,	34.51	,	38.26
73.20	,	-4.21	,	33.11	,	37.31
73.40	,	-4.60	,	31.76	,	36.36
73.60	,	-4.94	,	30.37	,	35.31
73.80	,	-5.23	,	29.06	,	34.29
74.00	,	-5.48	,	27.88	,	33.36
74.20	,	-5.70	,	26.74	,	32.44
74.40	,	-5.88	,	25.69	,	31.57
74.60	,	-6.04	,	24.75	,	30.79
74.80	,	-6.17	,	23.98	,	30.15
75.00	,	-6.26	,	23.46	,	29.72
75.20	,	-6.33	,	23.05	,	29.38
75.40	,	-6.37	,	22.47	,	28.84
75.60	,	-6.37	,	21.51	,	27.89
75.80	,	-6.35	,	20.16	,	26.51
76.00	,	-6.30	,	18.55	,	24.84
76.20	,	-6.22	,	16.84	,	23.06
76.40	,	-6.12	,	15.08	,	21.20
76.60	,	-6.01	,	13.33	,	19.34
76.80	,	-5.89	,	11.83	,	17.72
77.00	,	-5.77	,	10.66	,	16.43
77.20	,	-5.65	,	9.56	,	15.20
77.40	,	-5.53	,	8.37	,	13.90
77.60	,	-5.41	,	7.37	,	12.78
77.80	,	-5.30	,	6.77	,	12.07
78.00	,	-5.19	,	6.23	,	11.42
78.20	,	-5.09	,	5.43	,	10.52
78.40	,	-4.98	,	4.58	,	9.56
78.60	,	-4.87	,	4.04	,	8.90
78.80	,	-4.74	,	3.65	,	8.39
79.00	,	-4.60	,	2.85	,	7.45
79.20	,	-4.44	,	1.58	,	6.02
79.40	,	-4.26	,	0.28	,	4.54
79.60	,	-4.07	,	-0.93	,	3.14
79.80	,	-3.86	,	-2.38	,	1.48
80.00	,	-3.63	,	-4.13	,	-0.49
80.20	,	-3.40	,	-5.71	,	-2.31
80.40	,	-3.16	,	-6.75	,	-3.59
80.60	,	-2.92	,	-7.44	,	-4.52
80.80	,	-2.68	,	-8.08	,	-5.41
81.00	,	-2.43	,	-8.57	,	-6.14
81.20	,	-2.19	,	-8.64	,	-6.45
81.40	,	-1.95	,	-8.41	,	-6.46
81.60	,	-1.72	,	-8.23	,	-6.51
81.80	,	-1.48	,	-8.20	,	-6.72
82.00	,	-1.25	,	-8.18	,	-6.93
82.20	,	-1.02	,	-8.05	,	-7.03
82.40	,	-0.80	,	-7.97	,	-7.17
82.60	,	-0.57	,	-8.05	,	-7.47
82.80	,	-0.36	,	-8.21	,	-7.85
83.00	,	-0.15	,	-8.38	,	-8.22
83.20	,	0.04	,	-8.60	,	-8.64
83.40	,	0.22	,	-8.85	,	-9.07
83.60	,	0.37	,	-8.99	,	-9.36
83.80	,	0.51	,	-8.86	,	-9.37
84.00	,	0.62	,	-8.43	,	-9.05
84.20	,	0.70	,	-7.80	,	-8.50
84.40	,	0.76	,	-7.08	,	-7.84
84.60	,	0.79	,	-6.32	,	-7.12
84.80	,	0.81	,	-5.53	,	-6.34
85.00	,	0.82	,	-4.80	,	-5.62
85.20	,	0.82	,	-4.25	,	-5.07
85.40	,	0.81	,	-3.97	,	-4.78
85.60	,	0.82	,	-3.82	,	-4.64
85.80	,	0.83	,	-3.67	,	-4.50
86.00	,	0.85	,	-3.62	,	-4.46
86.20	,	0.88	,	-3.88	,	-4.77
86.40	,	0.93	,	-4.40	,	-5.34
86.60	,	0.99	,	-4.88	,	-5.87
86.80	,	1.04	,	-5.25	,	-6.30
87.00	,	1.10	,	-5.66	,	-6.76
87.20	,	1.14	,	-6.11	,	-7.26
87.40	,	1.17	,	-6.39	,	-7.57
87.60	,	1.18	,	-6.37	,	-7.55
87.80	,	1.16	,	-6.18	,	-7.35
88.00	,	1.13	,	-5.94	,	-7.07
88.20	,	1.07	,	-5.55	,	-6.62
88.40	,	0.99	,	-4.81	,	-5.79
88.60	,	0.89	,	-3.79	,	-4.69
88.80	,	0.79	,	-2.82	,	-3.60
89.00	,	0.68	,	-2.04	,	-2.73
89.20	,	0.58	,	-1.37	,	-1.96
89.40	,	0.49	,	-0.73	,	-1.22
89.60	,	0.41	,	-0.25	,	-0.66
89.80	,	0.35	,	0.07	,	-0.28
90.00	,	0.29	,	0.46	,	0.17
90.20	,	0.24	,	0.98	,	0.73
90.40	,	0.20	,	1.33	,	1.13
90.60	,	0.16	,	1.31	,	1.15
90.80	,	0.12	,	1.19	,	1.07
91.00	,	0.07	,	1.32	,	1.25
91.20	,	0.01	,	1.73	,	1.72
91.40	,	-0.06	,	2.19	,	2.25
91.60	,	-0.13	,	2.57	,	2.71
91.80	,	-0.22	,	2.87	,	3.08
92.00	,	-0.30	,	2.95	,	3.25
92.20	,	-0.38	,	2.79	,	3.17
92.40	,	-0.46	,	2.62	,	3.08
92.60	,	-0.53	,	2.74	,	3.26
92.80	,	-0.58	,	3.08	,	3.67
93.00	,	-0.63	,	3.33	,	3.96
93.20	,	-0.67	,	3.42	,	4.09
93.40	,	-0.70	,	3.42	,	4.11
93.60	,	-0.72	,	3.30	,	4.02
93.80	,	-0.74	,	3.01	,	3.75
94.00	,	-0.77	,	2.55	,	3.31
94.20	,	-0.79	,	2.00	,	2.79
94.40	,	-0.83	,	1.44	,	2.26
94.60	,	-0.86	,	0.87	,	1.73
94.80	,	-0.90	,	0.42	,	1.32
95.00	,	-0.94	,	0.18	,	1.12
95.20	,	-0.97	,	0.12	,	1.09
95.40	,	-0.99	,	0.23	,	1.23
95.60	,	-1.00	,	0.51	,	1.51
95.80	,	-1.00	,	0.89	,	1.89
96.00	,	-0.98	,	1.31	,	2.29
96.20	,	-0.94	,	1.80	,	2.74
96.40	,	-0.89	,	2.29	,	3.18
96.60	,	-0.84	,	2.62	,	3.46
96.80	,	-0.77	,	2.83	,	3.61
97.00	,	-0.71	,	3.06	,	3.77
97.20	,	-0.65	,	3.22	,	3.88
97.40	,	-0.61	,	3.20	,	3.80
97.60	,	-0.57	,	2.93	,	3.50
97.80	,	-0.55	,	2.40	,	2.95
98.00	,	-0.54	,	1.68	,	2.22
98.20	,	-0.54	,	0.91	,	1.45
98.40	,	-0.54	,	0.32	,	0.86
98.60	,	-0.54	,	-0.15	,	0.40
98.80	,	-0.55	,	-0.67	,	-0.13
99.00	,	-0.54	,	-1.21	,	-0.67
99.20	,	-0.52	,	-1.66	,	-1.14
99.40	,	-0.50	,	-2.00	,	-1.50
99.60	,	-0.47	,	-2.30	,	-1.83
99.80	,	-0.43	,	-2.73	,	-2.31
100.00	,	-0.38	,	0.00	,	0.38

